"Date","Booked Listings","Daily Rate"
"2026-05-14","836","413.85"
"2026-05-15","969","428.63"
"2026-05-16","997","433.56"
"2026-05-17","781","428.63"
"2026-05-18","651","418.78"
"2026-05-19","595","418.78"
"2026-05-20","611","418.78"
"2026-05-21","638","443.41"
"2026-05-22","720","463.12"
"2026-05-23","752","463.12"
"2026-05-24","662","458.19"
"2026-05-25","617","428.63"
"2026-05-26","614","418.78"
"2026-05-27","624","418.78"
"2026-05-28","658","438.49"
"2026-05-29","660","443.41"
"2026-05-30","631","448.34"
"2026-05-31","500","433.56"
"2026-06-01","422","433.56"
"2026-06-02","458","428.63"
"2026-06-03","600","468.05"
"2026-06-04","859","507.46"
"2026-06-05","957","512.39"
"2026-06-06","961","507.46"
"2026-06-07","731","477.9"
"2026-06-08","584","438.49"
"2026-06-09","516","418.78"
"2026-06-10","509","418.78"
"2026-06-11","478","428.63"
"2026-06-12","475","438.49"
"2026-06-13","458","443.41"
"2026-06-14","387","443.41"
"2026-06-15","326","433.56"
"2026-06-16","308","433.56"
"2026-06-17","316","438.49"
"2026-06-18","329","438.49"
"2026-06-19","363","453.27"
"2026-06-20","366","468.05"
"2026-06-21","338","453.27"
"2026-06-22","305","443.41"
"2026-06-23","298","433.56"
"2026-06-24","294","448.34"
"2026-06-25","309","448.34"
"2026-06-26","346","458.19"
"2026-06-27","355","458.19"
"2026-06-28","313","443.41"
"2026-06-29","288","428.63"
"2026-06-30","263","428.63"
"2026-07-01","278","428.63"
"2026-07-02","302","428.63"
"2026-07-03","325","443.41"
"2026-07-04","320","448.34"
"2026-07-05","293","463.12"
"2026-07-06","303","463.12"
"2026-07-07","308","453.27"
"2026-07-08","315","463.12"
"2026-07-09","331","472.97"
"2026-07-10","358","492.68"
"2026-07-11","371","492.68"
"2026-07-12","353","477.9"
"2026-07-13","347","463.12"
"2026-07-14","334","448.34"
"2026-07-15","344","468.05"
"2026-07-16","352","463.12"
"2026-07-17","359","463.12"
"2026-07-18","357","477.9"
"2026-07-19","334","458.19"
"2026-07-20","313","448.34"
"2026-07-21","314","453.27"
"2026-07-22","337","463.12"
"2026-07-23","363","448.34"
"2026-07-24","392","472.97"
"2026-07-25","404","487.75"
"2026-07-26","369","468.05"
"2026-07-27","340","453.27"
"2026-07-28","314","468.05"
"2026-07-29","309","477.9"
"2026-07-30","312","472.97"
"2026-07-31","277","463.12"
"2026-08-01","252","463.12"
"2026-08-02","215","453.27"
"2026-08-03","194","453.27"
"2026-08-04","196","433.56"
"2026-08-05","201","438.49"
"2026-08-06","213","443.41"
"2026-08-07","223","453.27"
"2026-08-08","239","463.12"
"2026-08-09","232","423.7"
"2026-08-10","263","408.92"
"2026-08-11","257","423.7"
"2026-08-12","238","433.56"
"2026-08-13","249","453.27"
"2026-08-14","266","472.97"
"2026-08-15","255","463.12"
"2026-08-16","222","463.12"
"2026-08-17","197","443.41"
"2026-08-18","187","438.49"
"2026-08-19","186","438.49"
"2026-08-20","199","468.05"
"2026-08-21","216","497.61"
"2026-08-22","215","502.53"
"2026-08-23","209","487.75"
"2026-08-24","197","472.97"
"2026-08-25","196","463.12"
"2026-08-26","212","463.12"
"2026-08-27","223","482.83"
"2026-08-28","234","492.68"
"2026-08-29","217","492.68"
"2026-08-30","193","463.12"
"2026-08-31","166","448.34"
"2026-09-01","206","448.34"
"2026-09-02","245","477.9"
"2026-09-03","374","482.83"
"2026-09-04","580","537.02"
"2026-09-05","712","532.09"
"2026-09-06","679","527.17"
"2026-09-07","582","507.46"
"2026-09-08","404","482.83"
"2026-09-09","409","487.75"
"2026-09-10","704","497.61"
"2026-09-11","811","527.17"
"2026-09-12","730","527.17"
"2026-09-13","411","502.53"
"2026-09-14","254","477.9"
"2026-09-15","187","448.34"
"2026-09-16","173","448.34"
"2026-09-17","174","453.27"
"2026-09-18","185","468.05"
"2026-09-19","188","482.83"
"2026-09-20","170","463.12"
"2026-09-21","163","443.41"
"2026-09-22","167","448.34"
"2026-09-23","168","443.41"
"2026-09-24","170","448.34"
"2026-09-25","174","458.19"
"2026-09-26","176","487.75"
"2026-09-27","168","472.97"
"2026-09-28","160","477.9"
"2026-09-29","164","463.12"
"2026-09-30","170","492.68"
"2026-10-01","140","546.88"
"2026-10-02","145","571.51"
"2026-10-03","125","541.95"
"2026-10-04","107","527.17"
"2026-10-05","100","468.05"
"2026-10-06","126","477.9"
"2026-10-07","147","487.75"
"2026-10-08","159","497.61"
"2026-10-09","189","541.95"
"2026-10-10","185","551.8"
"2026-10-11","157","546.88"
"2026-10-12","138","487.75"
"2026-10-13","133","463.12"
"2026-10-14","135","458.19"
"2026-10-15","136","463.12"
"2026-10-16","137","497.61"
"2026-10-17","135","512.39"
"2026-10-18","120","463.12"
"2026-10-19","102","463.12"
"2026-10-20","102","438.49"
"2026-10-21","104","453.27"
"2026-10-22","110","477.9"
"2026-10-23","107","507.46"
"2026-10-24","101","517.31"
"2026-10-25","91","482.83"
"2026-10-26","87","463.12"
"2026-10-27","83","418.78"
"2026-10-28","87","428.63"
"2026-10-29","88","448.34"
"2026-10-30","94","497.61"
"2026-10-31","92","512.39"
