"Date","Revenue"
"2023-05-01","6124.94"
"2023-06-01","6161.41"
"2023-07-01","7567.85"
"2023-08-01","6977.16"
"2023-09-01","7592.8"
"2023-10-01","7982.22"
"2023-11-01","8011.22"
"2023-12-01","7270.15"
"2024-01-01","9575.36"
"2024-02-01","7951.53"
"2024-03-01","7537"
"2024-04-01","7539.94"
"2024-05-01","6587.95"
"2024-06-01","6959.01"
"2024-07-01","8306.33"
"2024-08-01","7291.27"
"2024-09-01","8740.66"
"2024-10-01","8046.93"
"2024-11-01","8103.98"
"2024-12-01","8137.9"
"2025-01-01","11595.94"
"2025-02-01","9208.75"
"2025-03-01","8797.43"
"2025-04-01","8310.04"
"2025-05-01","6626.11"
"2025-06-01","6645.01"
"2025-07-01","8293.74"
"2025-08-01","7337.49"
"2025-09-01","8214.04"
"2025-10-01","8783.46"
"2025-11-01","8956.51"
"2025-12-01","8796.22"
"2026-01-01","12065.8"
"2026-02-01","11150.93"
"2026-03-01","9918.43"
"2026-04-01","8679.87"
