"Date","Unique","B&B","Apartment","House"
"2023-05-01","9045.39","6077.52","6739371.56","797553.88"
"2023-06-01","17607.17","19579.56","6462533.5","733776.38"
"2023-07-01","15945.08","1628.13","8468427.29","640828.93"
"2023-08-01","18139.34","1590.12","7469479.25","701980.91"
"2023-09-01","22497.85","37671.61","9403516.48","1226972.19"
"2023-10-01","13684.68","8629.94","11395943.57","934073.12"
"2023-11-01","13711.96","19007.11","13641418.69","1341608.54"
"2023-12-01","19031.45","21446.19","14795537.33","1295886.88"
"2024-01-01","31292.38","29210.76","19587232.29","1654551.93"
"2024-02-01","32181.1","26192.53","16075489.37","2240650.17"
"2024-03-01","20170.48","25856.39","11752416.58","1089830.63"
"2024-04-01","148021.99","21093.41","11482419.45","1407642.61"
"2024-05-01","230222.07","11014.8","10095401.96","816768.94"
"2024-06-01","237069.6","10524.42","9829099.93","1391753.93"
"2024-07-01","27236.06","11621.23","12587844.11","995677.19"
"2024-08-01","19257.25","16135.49","10343849.91","944093.71"
"2024-09-01","235072.96","28850.91","20437879.9","2539607.28"
"2024-10-01","123630.72","12618.61","13377105.81","1059629.66"
"2024-11-01","145306.35","160876.96","14757191.27","1963096.54"
"2024-12-01","225212.41","248264.17","19685958.4","2284898.06"
"2025-01-01","484373.22","240006.65","29093219.7","2662624.48"
"2025-02-01","378535.63","133273.29","21802112.24","2356310.87"
"2025-03-01","89315.41","13002.3","22124947.8","3030145.37"
"2025-04-01","67448.85","7487.12","19053333.07","2336576.88"
"2025-05-01","40183.07","5938.52","13187850.01","1177811.24"
"2025-06-01","23007.2","5798.92","11907183.78","1128101.1"
"2025-07-01","30742.27","8064.91","14555459.66","1205312.48"
"2025-08-01","290590.24","2187.37","11935560.37","1316670.18"
"2025-09-01","469725.04","1797.04","13403600.21","1756201.38"
"2025-10-01","514288.15","8863","15392075.04","1651689.61"
"2025-11-01","470928.44","124598.48","16313570.65","2517565.21"
"2025-12-01","567151.53","8782.97","22047015.82","2507841.93"
"2026-01-01","121321.62","8736.02","32936458.78","2961954.89"
"2026-02-01","143460.32","22996.66","29697580.33","4101709.32"
"2026-03-01","22047.35","506.41","18965107.39","2317135.89"
"2026-04-01","14522.26","1957.61","18281554.26","1717741.8"
