"Date","RevPAR"
"2024-04-01","238.85"
"2024-04-02","212.1"
"2024-04-03","219.14"
"2024-04-04","238.52"
"2024-04-05","270.8"
"2024-04-06","285.63"
"2024-04-07","254.66"
"2024-04-08","220.16"
"2024-04-09","211.31"
"2024-04-10","212.68"
"2024-04-11","225.72"
"2024-04-12","257.52"
"2024-04-13","297.6"
"2024-04-14","306.4"
"2024-04-15","319.5"
"2024-04-16","330.58"
"2024-04-17","352.36"
"2024-04-18","315.49"
"2024-04-19","329.08"
"2024-04-20","321.33"
"2024-04-21","254.47"
"2024-04-22","220.81"
"2024-04-23","192.37"
"2024-04-24","195.58"
"2024-04-25","222.59"
"2024-04-26","281.62"
"2024-04-27","303.06"
"2024-04-28","269.49"
"2024-04-29","233.64"
"2024-04-30","233.71"
"2024-05-01","236.62"
"2024-05-02","255.66"
"2024-05-03","339.47"
"2024-05-04","369.47"
"2024-05-05","272.43"
"2024-05-06","204.53"
"2024-05-07","184.77"
"2024-05-08","179.65"
"2024-05-09","192.63"
"2024-05-10","219.74"
"2024-05-11","234.89"
"2024-05-12","188.03"
"2024-05-13","154.46"
"2024-05-14","154.85"
"2024-05-15","179.84"
"2024-05-16","208.96"
"2024-05-17","264.42"
"2024-05-18","280.73"
"2024-05-19","242.26"
"2024-05-20","211.27"
"2024-05-21","209.54"
"2024-05-22","218.44"
"2024-05-23","240.02"
"2024-05-24","267.13"
"2024-05-25","267.22"
"2024-05-26","203.35"
"2024-05-27","163.07"
"2024-05-28","177.82"
"2024-05-29","242.22"
"2024-05-30","369.91"
"2024-05-31","423.73"
"2024-06-01","442.06"
"2024-06-02","299.77"
"2024-06-03","210.32"
"2024-06-04","204.45"
"2024-06-05","202.8"
"2024-06-06","208.01"
"2024-06-07","253.14"
"2024-06-08","272.92"
"2024-06-09","222.88"
"2024-06-10","177.14"
"2024-06-11","181.32"
"2024-06-12","198.2"
"2024-06-13","235.48"
"2024-06-14","278.02"
"2024-06-15","311.13"
"2024-06-16","263.23"
"2024-06-17","219.6"
"2024-06-18","208.29"
"2024-06-19","209.03"
"2024-06-20","213.68"
"2024-06-21","253.81"
"2024-06-22","279.54"
"2024-06-23","234.62"
"2024-06-24","215.74"
"2024-06-25","234.39"
"2024-06-26","250.89"
"2024-06-27","267.46"
"2024-06-28","332.38"
