"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-06-01","13","4","5","6","3","1"
"2023-07-01","14","3","8","6","4","0"
"2023-08-01","14","2","7","6","4","2"
"2023-09-01","14","2","9","6","3","9"
"2023-10-01","16","3","8","6","5","7"
"2023-11-01","18","3","10","8","6","3"
"2023-12-01","20","4","13","14","12","10"
"2024-01-01","19","4","9","13","14","10"
"2024-02-01","16","3","11","13","21","14"
"2024-03-01","17","4","12","12","19","15"
"2024-04-01","15","3","11","4","5","6"
"2024-05-01","16","4","9","4","3","4"
"2024-06-01","15","3","9","5","3","3"
"2024-07-01","16","3","8","5","6","4"
"2024-08-01","20","4","9","5","9","5"
"2024-09-01","19","5","15","6","13","8"
"2024-10-01","20","5","16","7","13","8"
"2024-11-01","17","6","12","10","16","8"
"2024-12-01","22","5","12","10","15","8"
"2025-01-01","24","6","13","9","10","4"
"2025-02-01","24","7","14","10","28","10"
"2025-03-01","26","6","14","15","31","18"
"2025-04-01","25","6","11","13","27","15"
"2025-05-01","22","5","13","7","9","10"
"2025-06-01","19","3","12","3","6","9"
"2025-07-01","18","4","10","5","6","9"
"2025-08-01","19","4","11","6","7","8"
"2025-09-01","18","4","12","7","6","13"
"2025-10-01","18","5","12","7","5","13"
"2025-11-01","15","5","9","8","12","15"
"2025-12-01","22","9","12","9","13","19"
"2026-01-01","25","8","15","9","12","14"
"2026-02-01","25","6","18","13","22","17"
"2026-03-01","23","7","16","14","20","18"
"2026-04-01","17","5","10","9","11","10"
"2026-05-01","17","5","10","8","11","9"
