"Date","Listing Days Booked","Booked Listings"
"2023-05-01","368","28"
"2023-06-01","284","29"
"2023-07-01","289","28"
"2023-08-01","279","29"
"2023-09-01","486","39"
"2023-10-01","355","32"
"2023-11-01","614","46"
"2023-12-01","647","61"
"2024-01-01","599","57"
"2024-02-01","757","72"
"2024-03-01","400","40"
"2024-04-01","408","33"
"2024-05-01","267","33"
"2024-06-01","280","29"
"2024-07-01","420","37"
"2024-08-01","490","43"
"2024-09-01","719","63"
"2024-10-01","524","43"
"2024-11-01","700","61"
"2024-12-01","619","54"
"2025-01-01","782","61"
"2025-02-01","788","87"
"2025-03-01","1143","101"
"2025-04-01","721","57"
"2025-05-01","518","48"
"2025-06-01","600","42"
"2025-07-01","703","43"
"2025-08-01","623","49"
"2025-09-01","621","53"
"2025-10-01","581","44"
"2025-11-01","577","55"
"2025-12-01","825","70"
"2026-01-01","952","74"
"2026-02-01","1119","94"
"2026-03-01","691","51"
"2026-04-01","676","56"
