"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","4.56"
"2024-05-01","5.12"
"2024-06-01","5.67"
"2024-07-01","5.01"
"2024-08-01","7.55"
"2024-09-01","5.31"
"2024-10-01","5.39"
"2024-11-01","5.19"
"2024-12-01","5.12"
"2025-01-01","5.32"
"2025-02-01","5.8"
"2025-03-01","5.02"
"2025-04-01","4.74"
"2025-05-01","5.6"
"2025-06-01","5.84"
"2025-07-01","6.81"
"2025-08-01","5.01"
"2025-09-01","5.31"
"2025-10-01","4.76"
"2025-11-01","4.47"
"2025-12-01","5.99"
"2026-01-01","5.78"
"2026-02-01","6.68"
"2026-03-01","5.36"
"2026-04-01","4.58"
