"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","269.04","1188.64","2172.95","1818.41","9046.28","4773.95"
"2023-06-01","267.54","1050.28","1985.16","1896.24","5763.22","0"
"2023-07-01","265.06","1464.83","964.79","1384.93","9402.95","0"
"2023-08-01","301.97","490.16","1333.81","1924.9","8592.58","7965.56"
"2023-09-01","311.39","967.46","1379.65","2586.13","10069.77","6542.51"
"2023-10-01","323.59","823.47","964.27","1912.49","10486.96","0"
"2023-11-01","293.93","1599.55","1277.8","3093.11","8363.8","8238.93"
"2023-12-01","319.24","583.84","835.23","3669.01","11413.76","9102.08"
"2024-01-01","307.7","1107.2","917.83","3102.12","11218.18","8986.85"
"2024-02-01","299.83","1007.58","1413.33","2936.04","13353.22","8837.55"
"2024-03-01","346.2","544.28","1149.35","1790.71","6469.74","9223.76"
"2024-04-01","320.45","826.44","1518.11","2311.33","2990.83","4484.05"
"2024-05-01","270.97","2310.15","1126.95","2112.79","3793.49","5436.02"
"2024-06-01","300.39","530.77","1177.38","2218.06","3407.37","6193.86"
"2024-07-01","277.07","1408.82","944.41","2446.29","6932.96","5769.75"
"2024-08-01","323.3","2326.23","1089.63","2540.63","5826.45","5549.95"
"2024-09-01","388.67","1512.78","1412.26","3568.16","11483.41","6155.45"
"2024-10-01","327.03","740.61","911.27","3220.45","6641.9","4788.61"
"2024-11-01","380.14","1369.94","1025.15","3770.27","8558.29","6385.7"
"2024-12-01","611.17","1007.49","1258.66","2933.09","11289.67","11596.52"
"2025-01-01","454.73","1084.65","1128.46","2942.52","10393.4","13363.64"
"2025-02-01","431.91","1693.39","1127.8","3091.56","8658.83","6069.44"
"2025-03-01","509.87","1347.3","1210.41","4984.05","11081.8","7911.55"
"2025-04-01","398.65","1433.85","1502.21","3156.82","7577.91","5914.81"
"2025-05-01","378.69","717.82","890.88","2901.31","8080.13","4737.22"
"2025-06-01","366.85","614.72","829.78","2493.88","3285.36","4202.36"
"2025-07-01","468.35","557.48","906.24","2311.03","6795.83","2384.66"
"2025-08-01","427.99","608.71","857.46","3545.47","6644.85","3772.25"
"2025-09-01","377.65","633.49","888.99","3900.23","7000.02","3535.76"
"2025-10-01","341.15","841.04","848.49","1840.12","6662.43","3821.28"
"2025-11-01","443.96","1073.36","903.49","3269.86","6735.45","5474.04"
"2025-12-01","442.23","909.37","952.07","3557.29","10727.12","5757.41"
"2026-01-01","547.48","1129.56","969.96","7326.55","12519.68","3919.91"
"2026-02-01","538.78","1200.71","1362.38","4438.02","11546.08","6305.78"
"2026-03-01","385.18","2329.14","958.37","4141.95","6777.38","4088.24"
"2026-04-01","506.8","1140.77","867.05","3866.03","9792.08","3447.14"
