"Date","Daily Rate"
"2023-05-01","1388"
"2023-06-01","1061"
"2023-07-01","998"
"2023-08-01","1434"
"2023-09-01","2047"
"2023-10-01","1789"
"2023-11-01","2060"
"2023-12-01","2617"
"2024-01-01","2696"
"2024-02-01","4488"
"2024-03-01","1716"
"2024-04-01","1088"
"2024-05-01","1012"
"2024-06-01","1046"
"2024-07-01","1377"
"2024-08-01","1653"
"2024-09-01","3244"
"2024-10-01","1780"
"2024-11-01","2488"
"2024-12-01","2600"
"2025-01-01","2207"
"2025-02-01","2128"
"2025-03-01","4259"
"2025-04-01","2167"
"2025-05-01","1336"
"2025-06-01","1168"
"2025-07-01","1344"
"2025-08-01","1383"
"2025-09-01","1628"
"2025-10-01","1263"
"2025-11-01","2504"
"2025-12-01","2044"
"2026-01-01","2734"
"2026-02-01","4198"
"2026-03-01","2187"
"2026-04-01","2587"
