"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","163","219","788","1865","2567"
"2023-06-01","158","285","847","1124","1848"
"2023-07-01","158","271","920","671","2635"
"2023-08-01","139","224","759","760","2697"
"2023-09-01","148","192","697","1094","4038"
"2023-10-01","171","246","662","1080","4798"
"2023-11-01","179","239","729","972","4146"
"2023-12-01","180","333","747","1186","4975"
"2024-01-01","189","298","915","828","5969"
"2024-02-01","190","289","1144","1926","7655"
"2024-03-01","220","332","749","932","3564"
"2024-04-01","210","300","1155","1089","2230"
"2024-05-01","186","348","1317","790","2549"
"2024-06-01","198","321","866","976","2623"
"2024-07-01","252","303","670","808","4151"
"2024-08-01","430","256","1118","1564","2608"
"2024-09-01","447","352","1202","1653","5474"
"2024-10-01","522","265","627","1774","3774"
"2024-11-01","475","309","691","1598","4562"
"2024-12-01","456","366","1005","1037","5144"
"2025-01-01","367","345","1171","979","4900"
"2025-02-01","323","325","1299","1363","4420"
"2025-03-01","436","282","1475","2074","8126"
"2025-04-01","403","401","1385","1364","4651"
"2025-05-01","346","264","1109","1065","3598"
"2025-06-01","294","453","566","1260","2502"
"2025-07-01","350","273","885","1262","2644"
"2025-08-01","377","293","819","1459","3367"
"2025-09-01","463","642","881","1748","3358"
"2025-10-01","507","266","775","1378","2674"
"2025-11-01","557","602","1302","2696","4342"
"2025-12-01","337","544","978","1882","3053"
"2026-01-01","555","461","964","1532","6139"
"2026-02-01","732","781","1634","3391","7097"
"2026-03-01","640","621","894","2156","3844"
"2026-04-01","479","677","976","2427","5126"
