"Date","Booked Listings","Daily Rate"
"2026-05-14","16","812.92"
"2026-05-15","16","911.46"
"2026-05-16","16","778.43"
"2026-05-17","11","778.43"
"2026-05-18","7","778.43"
"2026-05-19","6","778.43"
"2026-05-20","7","1034.63"
"2026-05-21","8","778.43"
"2026-05-22","7","458.19"
"2026-05-23","7","482.83"
"2026-05-24","9","778.43"
"2026-05-25","6","778.43"
"2026-05-26","6","778.43"
"2026-05-27","9","1014.92"
"2026-05-28","12","1014.92"
"2026-05-29","11","783.36"
"2026-05-30","12","1014.92"
"2026-05-31","10","906.53"
"2026-06-01","3","778.43"
"2026-06-02","3","753.8"
"2026-06-03","9","783.36"
"2026-06-04","18","783.36"
"2026-06-05","18","803.07"
"2026-06-06","18","803.07"
"2026-06-07","11","758.73"
"2026-06-08","8","453.27"
"2026-06-09","6","453.27"
"2026-06-10","7","492.68"
"2026-06-11","8","492.68"
"2026-06-12","7","778.43"
"2026-06-13","9","817.85"
"2026-06-14","8","763.65"
"2026-06-15","8","778.43"
"2026-06-16","7","1103.6"
"2026-06-17","9","1103.6"
"2026-06-18","10","1103.6"
"2026-06-19","9","1345.02"
"2026-06-20","8","1246.48"
"2026-06-21","9","1246.48"
"2026-06-22","5","778.43"
"2026-06-23","4","778.43"
"2026-06-24","3","778.43"
"2026-06-25","5","1231.7"
"2026-06-26","4","778.43"
"2026-06-27","4","778.43"
"2026-06-28","3","1216.92"
"2026-06-29","4","778.43"
"2026-06-30","4","778.43"
"2026-07-01","5","857.26"
"2026-07-02","4","857.26"
"2026-07-03","4","857.26"
"2026-07-04","4","857.26"
"2026-07-05","4","857.26"
"2026-07-06","3","857.26"
"2026-07-07","4","413.85"
"2026-07-08","8","857.26"
"2026-07-09","10","1118.38"
"2026-07-10","12","1074.04"
"2026-07-11","12","1113.46"
"2026-07-12","9","941.02"
"2026-07-13","9","1098.68"
"2026-07-14","10","945.95"
"2026-07-15","6","941.02"
"2026-07-16","6","1069.12"
"2026-07-17","6","1069.12"
"2026-07-18","4","1138.09"
"2026-07-19","3","876.97"
"2026-07-20","3","1128.24"
"2026-07-21","3","1123.31"
"2026-07-22","4","1000.14"
"2026-07-23","4","980.43"
"2026-07-24","5","1039.56"
"2026-07-25","6","1138.09"
"2026-07-26","5","1039.56"
"2026-07-27","4","1093.75"
"2026-07-28","3","1093.75"
"2026-07-29","5","1093.75"
"2026-07-30","8","1187.36"
"2026-07-31","10","1236.63"
"2026-08-01","11","1413.99"
"2026-08-02","6","945.95"
"2026-08-03","6","945.95"
"2026-08-04","4","665.12"
"2026-08-05","4","665.12"
"2026-08-06","7","1340.09"
"2026-08-07","7","1290.82"
"2026-08-08","8","1236.63"
"2026-08-09","6","945.95"
"2026-08-10","7","1118.38"
"2026-08-11","6","1118.38"
"2026-08-12","9","1128.24"
"2026-08-13","10","1128.24"
"2026-08-14","15","2310.67"
"2026-08-15","14","1330.24"
"2026-08-16","13","1729.31"
"2026-08-17","11","1118.38"
"2026-08-18","5","1118.38"
"2026-08-19","5","665.12"
"2026-08-20","5","665.12"
"2026-08-21","5","665.12"
"2026-08-22","5","665.12"
"2026-08-23","5","665.12"
"2026-08-24","5","665.12"
"2026-08-25","1","665.12"
"2026-08-26","2","665.12"
"2026-08-27","2","665.12"
"2026-08-28","2","665.12"
"2026-08-29","2","665.12"
"2026-08-30","2","665.12"
"2026-08-31","1","665.12"
"2026-09-01","1","7764.64"
"2026-09-02","2","1207.07"
"2026-09-03","5","1246.48"
"2026-09-04","12","1591.36"
"2026-09-05","13","1699.75"
"2026-09-06","13","1699.75"
"2026-09-07","8","960.73"
"2026-09-08","7","1207.07"
"2026-09-09","6","960.73"
"2026-09-10","13","1187.36"
"2026-09-11","13","1236.63"
"2026-09-12","12","1345.02"
"2026-09-13","9","1261.26"
"2026-09-14","4","6059.97"
"2026-09-15","5","6143.72"
"2026-09-16","5","12248.03"
"2026-09-17","7","5857.97"
"2026-09-18","7","6488.6"
"2026-09-19","6","6059.97"
"2026-09-20","4","6059.97"
"2026-09-21","2","955.8"
"2026-09-22","2","955.8"
"2026-09-23","2","955.8"
"2026-09-24","2","5976.21"
"2026-09-25","3","6000.84"
"2026-09-26","3","5976.21"
"2026-09-27","3","5976.21"
"2026-09-28","1","14607.97"
"2026-09-29","2","408.92"
"2026-09-30","3","4764.22"
"2026-10-01","4","3571.93"
"2026-10-02","4","1379.5"
"2026-10-03","4","1379.5"
"2026-10-04","5","1340.09"
"2026-10-05","3","1029.7"
"2026-10-06","2","408.92"
"2026-10-07","2","1029.7"
"2026-10-08","4","1138.09"
"2026-10-09","9","5660.9"
"2026-10-10","9","5660.9"
"2026-10-11","9","5660.9"
"2026-10-12","5","5399.77"
"2026-10-13","2","1138.09"
"2026-10-14","0","0"
"2026-10-15","1","665.12"
"2026-10-16","2","665.12"
"2026-10-17","4","3394.57"
"2026-10-18","4","3394.57"
"2026-10-19","5","3833.05"
"2026-10-20","3","7764.64"
"2026-10-21","3","7764.64"
"2026-10-22","3","7764.64"
"2026-10-23","3","7764.64"
"2026-10-24","2","665.12"
"2026-10-25","1","665.12"
"2026-10-26","2","665.12"
"2026-10-27","2","665.12"
"2026-10-28","2","665.12"
"2026-10-29","2","7764.64"
"2026-10-30","5","7764.64"
"2026-10-31","4","3833.05"
