"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","5038.28","9033.65","16514.43","16002.03","99509.05","147992.33"
"2023-06-01","3416.32","9802.62","11513.93","17824.61","26895.05",""
"2023-07-01","3622.46","4394.5","9647.88","15234.28","37611.8",""
"2023-08-01","4126.94","1470.49","11115.04","14244.29","54419.66","23896.67"
"2023-09-01","5676.97","14511.91","13489.95","22844.2","176220.98","40189.68"
"2023-10-01","4271.39","7411.29","7232.03","21515.51","104869.62",""
"2023-11-01","5180.59","28258.65","14183.61","32864.36","98971.68","32955.73"
"2023-12-01","4956.57","8368.46","9929.98","30686.27","65369.73","53474.73"
"2024-01-01","4705.97","15869.92","11931.81","31951.89","76487.6","26960.52"
"2024-02-01","4328.83","15785.5","12848.47","36211.2","115466.04","57104.14"
"2024-03-01","4047.84","8345.64","11110.35","23279.25","32348.72","46118.81"
"2024-04-01","5195.94","10743.74","12296.71","40833.47","37385.31","13452.13"
"2024-05-01","3335.04","6160.43","7043.41","13204.92","24025.45","13590.05"
"2024-06-01","4232.72","2653.84","8683.21","26062.25","10222.11","16516.97"
"2024-07-01","3948.33","8922.52","12277.37","22016.59","48530.75","23079.01"
"2024-08-01","4723.79","11631.16","11380.6","24136.03","44946.92","49949.53"
"2024-09-01","5645.93","12404.77","15346.6","29734.64","115878","68589.33"
"2024-10-01","4382.2","7406.08","14124.7","30272.23","38902.52","71829.12"
"2024-11-01","6015.21","12786.16","14818.05","33932.45","58685.42","61302.75"
"2024-12-01","8148.9","9571.16","17621.28","23045.72","100195.84","81175.62"
"2025-01-01","6882.98","9942.63","19010.2","27953.95","108553.24","22272.75"
"2025-02-01","5539.78","26529.73","16433.6","22568.38","25976.48","31695.96"
"2025-03-01","7412.69","19670.65","17318.11","47514.59","95778.41","68378.43"
"2025-04-01","5037.44","24375.53","22396.62","28411.4","71448.87","76892.52"
"2025-05-01","5169.07","8374.57","10123.62","17407.83","56560.9","26054.67"
"2025-06-01","5934.25","12089.42","12197.7","23691.87","30663.33","43224.2"
"2025-07-01","7597.69","12450.31","19735.86","17563.83","93442.65","32789.06"
"2025-08-01","5754.07","13797.53","14420.9","21272.81","31009.29","40955.81"
"2025-09-01","5153.74","8393.74","13254.05","17272.41","84000.28","33750.41"
"2025-10-01","5003.45","7779.65","16630.38","15641.06","31091.35","38212.81"
"2025-11-01","5634.9","13953.63","13439.39","26567.63","47821.73","45782.87"
"2025-12-01","6733.92","14549.84","13487.6","32015.61","73748.92","34133.22"
"2026-01-01","8188.34","16136.61","14808.11","94198.46","89914.06","39199.04"
"2026-02-01","7332.1","12607.45","18031.5","47708.78","123543.1","68969.41"
"2026-03-01","6383.02","37266.2","19167.49","36242.09","57607.76","41393.42"
"2026-04-01","7665.34","17111.6","14258.13","29271.4","80784.67","31886.05"
