"Date","Unique","B&B","Apartment","House"
"2023-05-01","","","77037.37","433635.91"
"2023-06-01","","","83749.51","217448.54"
"2023-07-01","","","106803.22","181509.76"
"2023-08-01","","","76884.07","323073.62"
"2023-09-01","","","119677.07","875391.61"
"2023-10-01","","","93076.05","542160.93"
"2023-11-01","","","156812.34","1108300.96"
"2023-12-01","","","174043.48","1519020.05"
"2024-01-01","","","172876.56","1441784.15"
"2024-02-01","","","181069.67","3216692.5"
"2024-03-01","","","168613.65","517772.35"
"2024-04-01","","","150210.15","293871.38"
"2024-05-01","","","73637.38","196623.09"
"2024-06-01","","","105206.72","187716.66"
"2024-07-01","8352.25","","175626.01","394233.68"
"2024-08-01","614.48","","256560.38","552880.68"
"2024-09-01","","","206678.48","2126008.02"
"2024-10-01","","","249698.09","683089.67"
"2024-11-01","29176.05","","215408.87","1496957.99"
"2024-12-01","10870.28","","283298.02","1315491.34"
"2025-01-01","24307.36","","674742.82","1026592.2"
"2025-02-01","5978.53","","310307.37","1360737.34"
"2025-03-01","3435.87","","297036.24","4567559.83"
"2025-04-01","","","258252.77","1304295.68"
"2025-05-01","22634.59","","163948.75","505484.97"
"2025-06-01","","","164842.41","536228.47"
"2025-07-01","2634.57","","240807.93","701035.94"
"2025-08-01","8290.39","","227766.92","625376.08"
"2025-09-01","5656.97","","199110.38","806378.42"
"2025-10-01","1667.94","","241203.22","491144.06"
"2025-11-01","","","193021.17","1251885.78"
"2025-12-01","2859.07","","275196.2","1408291.73"
"2026-01-01","12682.53","","358960.57","2231399.56"
"2026-02-01","26232.68","","320460.48","4351003.33"
"2026-03-01","12846.74","","208554.28","1289578.03"
"2026-04-01","574.3","","196759.66","1551484.88"
