"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","274","255","117","18","13","5"
"2023-06-01","276","230","111","20","9","6"
"2023-07-01","269","230","113","24","10","6"
"2023-08-01","260","228","114","25","10","7"
"2023-09-01","279","252","127","27","8","7"
"2023-10-01","319","286","136","29","7","5"
"2023-11-01","388","339","161","34","10","7"
"2023-12-01","566","446","222","49","14","8"
"2024-01-01","587","457","211","44","16","7"
"2024-02-01","527","403","196","47","16","3"
"2024-03-01","544","389","185","48","14","3"
"2024-04-01","416","296","138","29","13","3"
"2024-05-01","424","295","136","29","12","3"
"2024-06-01","396","275","114","33","10","4"
"2024-07-01","410","296","116","31","11","3"
"2024-08-01","427","292","115","30","10","3"
"2024-09-01","712","506","215","43","14","5"
"2024-10-01","724","495","215","40","15","5"
"2024-11-01","546","360","155","33","12","4"
"2024-12-01","794","535","243","51","21","8"
"2025-01-01","828","552","249","51","19","8"
"2025-02-01","717","482","207","39","17","5"
"2025-03-01","830","514","224","39","18","5"
"2025-04-01","769","510","213","40","17","5"
"2025-05-01","709","468","192","37","17","5"
"2025-06-01","548","360","118","27","14","2"
"2025-07-01","545","368","126","28","13","3"
"2025-08-01","549","358","119","27","10","2"
"2025-09-01","538","342","111","19","14","3"
"2025-10-01","565","377","122","23","16","4"
"2025-11-01","601","420","140","32","15","3"
"2025-12-01","926","596","211","49","18","6"
"2026-01-01","973","656","221","54","20","8"
"2026-02-01","976","682","235","52","24","9"
"2026-03-01","948","660","219","50","22","7"
"2026-04-01","711","491","151","40","18","6"
