"Date","Listing Days Booked","Booked Listings"
"2023-05-01","8656","574"
"2023-06-01","7372","560"
"2023-07-01","9755","588"
"2023-08-01","8148","551"
"2023-09-01","9956","659"
"2023-10-01","10560","703"
"2023-11-01","14288","905"
"2023-12-01","15388","1227"
"2024-01-01","15700","1169"
"2024-02-01","12864","1079"
"2024-03-01","10678","756"
"2024-04-01","10765","774"
"2024-05-01","10528","764"
"2024-06-01","9694","736"
"2024-07-01","13101","789"
"2024-08-01","11616","748"
"2024-09-01","17485","1480"
"2024-10-01","12827","868"
"2024-11-01","13726","1035"
"2024-12-01","17943","1609"
"2025-01-01","22808","1575"
"2025-02-01","16133","1269"
"2025-03-01","19552","1556"
"2025-04-01","17172","1386"
"2025-05-01","13746","1110"
"2025-06-01","12629","920"
"2025-07-01","14937","957"
"2025-08-01","12779","897"
"2025-09-01","13907","933"
"2025-10-01","15343","1007"
"2025-11-01","15278","1117"
"2025-12-01","20148","1765"
"2026-01-01","26850","1850"
"2026-02-01","23506","1880"
"2026-03-01","17582","1182"
"2026-04-01","18527","1302"
