"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","6.21"
"2024-05-01","4.96"
"2024-06-01","5.71"
"2024-07-01","5.84"
"2024-08-01","4.92"
"2024-09-01","4.01"
"2024-10-01","5.29"
"2024-11-01","4.73"
"2024-12-01","4.97"
"2025-01-01","5.64"
"2025-02-01","5.24"
"2025-03-01","5.41"
"2025-04-01","5.17"
"2025-05-01","4.75"
"2025-06-01","5.27"
"2025-07-01","5.19"
"2025-08-01","5.29"
"2025-09-01","5.39"
"2025-10-01","4.6"
"2025-11-01","4.82"
"2025-12-01","4.96"
"2026-01-01","5.5"
"2026-02-01","5.41"
"2026-03-01","5.86"
"2026-04-01","4.79"
