"Date","Occupancy"
"2023-05-01","48.83"
"2023-06-01","47"
"2023-07-01","59.01"
"2023-08-01","48.95"
"2023-09-01","54.28"
"2023-10-01","53.68"
"2023-11-01","59.81"
"2023-12-01","54.24"
"2024-01-01","43.71"
"2024-02-01","45.34"
"2024-03-01","40.87"
"2024-04-01","48.6"
"2024-05-01","47.23"
"2024-06-01","46.8"
"2024-07-01","60.14"
"2024-08-01","50.75"
"2024-09-01","51.21"
"2024-10-01","36.13"
"2024-11-01","49.9"
"2024-12-01","57.15"
"2025-01-01","48.26"
"2025-02-01","53.95"
"2025-03-01","42.41"
"2025-04-01","50.29"
"2025-05-01","36.71"
"2025-06-01","51.14"
"2025-07-01","53.32"
"2025-08-01","46.23"
"2025-09-01","53.24"
"2025-10-01","53.88"
"2025-11-01","50.97"
"2025-12-01","55.9"
"2026-01-01","50.3"
"2026-02-01","53.01"
"2026-03-01","38.05"
"2026-04-01","51.76"
