"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","238.78","354.95","493.35","1016.35","1323.58","2126.51"
"2023-06-01","233.87","346.72","552.08","964.12","1465.29","1521.23"
"2023-07-01","231.38","343.82","543.78","1003.54","1390.63","1322.09"
"2023-08-01","227.29","334.58","540.26","1045.95","1494.95","1640.57"
"2023-09-01","243.29","343.47","525.75","1062.4","1495.2","1442.99"
"2023-10-01","249.82","350.68","505.87","1200.28","1367.05","1216.49"
"2023-11-01","247.83","341.53","533.66","997.01","1384.61","865.86"
"2023-12-01","292.61","426.8","662.46","1188.52","1729.38","1293.78"
"2024-01-01","299.49","438.31","633.71","1276","1682.41","1077.2"
"2024-02-01","283.59","434","637.66","1208.48","1761.01","1961.85"
"2024-03-01","277.9","366.44","510.04","1221.83","1838.55","1660.95"
"2024-04-01","260.95","382.57","621.69","1107.61","1725.57","2338.01"
"2024-05-01","252.35","366.74","495.18","1016.02","1552.81","1839.51"
"2024-06-01","261.01","385.32","541.05","985.53","1814.13","2040.32"
"2024-07-01","271.44","368.65","535.16","1035.9","1592.75","1801.29"
"2024-08-01","251.83","366.11","499.22","961.31","1891.26","1871.41"
"2024-09-01","319.01","486.44","701.5","1260.81","1616.86","2052.53"
"2024-10-01","273.23","372.33","505.42","954.64","1651.4","2104.23"
"2024-11-01","270.41","377.21","525.62","997.55","1901.45","2182.55"
"2024-12-01","311.25","440.83","643.78","1276.23","1535.28","2359.1"
"2025-01-01","316.76","443.92","646.91","1132.92","1773.92","2237.56"
"2025-02-01","282.84","408.87","594.02","1090.34","1866.18","1848.96"
"2025-03-01","277.81","404.05","657.64","1128.15","1582.55","2041.56"
"2025-04-01","266.05","389.04","611.58","1052","1492.07","2153.45"
"2025-05-01","243.83","359.86","557.83","891.38","1294.83","1870.11"
"2025-06-01","230.38","346.71","554.8","1032.07","1326.19","2838.48"
"2025-07-01","235.48","345.24","546.16","919.31","1224.68","1466.8"
"2025-08-01","226.39","325.83","535.09","875.2","1311.24","2238.13"
"2025-09-01","234.3","318.22","523.89","941.01","1301.06","2167.88"
"2025-10-01","238.52","349.99","519.86","1025.12","1483.86","2070.9"
"2025-11-01","246.28","358.31","549.18","1174.26","1717.76","1751.13"
"2025-12-01","288.85","431.8","638.48","1255.28","1450.05","2328.86"
"2026-01-01","311.68","451.04","676.36","1328.5","1561.53","2511.74"
"2026-02-01","321.6","476.61","734.26","1433.17","1633.73","1833.48"
"2026-03-01","279.52","373.35","637.41","1203.38","1099.84","2389"
"2026-04-01","254.77","348.74","598.55","1153.1","1247.57","2103.75"
