"Date","Daily Rate"
"2023-05-01","346"
"2023-06-01","356"
"2023-07-01","361"
"2023-08-01","345"
"2023-09-01","368"
"2023-10-01","361"
"2023-11-01","359"
"2023-12-01","437"
"2024-01-01","440"
"2024-02-01","434"
"2024-03-01","389"
"2024-04-01","402"
"2024-05-01","352"
"2024-06-01","383"
"2024-07-01","374"
"2024-08-01","351"
"2024-09-01","467"
"2024-10-01","368"
"2024-11-01","379"
"2024-12-01","444"
"2025-01-01","436"
"2025-02-01","402"
"2025-03-01","397"
"2025-04-01","385"
"2025-05-01","337"
"2025-06-01","334"
"2025-07-01","336"
"2025-08-01","313"
"2025-09-01","319"
"2025-10-01","335"
"2025-11-01","356"
"2025-12-01","416"
"2026-01-01","444"
"2026-02-01","472"
"2026-03-01","377"
"2026-04-01","358"
