"Date","Booked Listings","Daily Rate"
"2026-05-14","420","285.75"
"2026-05-15","472","300.53"
"2026-05-16","505","300.53"
"2026-05-17","395","275.9"
"2026-05-18","318","270.97"
"2026-05-19","287","261.12"
"2026-05-20","285","280.83"
"2026-05-21","297","285.75"
"2026-05-22","321","315.32"
"2026-05-23","353","315.32"
"2026-05-24","320","300.53"
"2026-05-25","274","285.75"
"2026-05-26","252","280.83"
"2026-05-27","246","290.68"
"2026-05-28","263","295.61"
"2026-05-29","265","320.24"
"2026-05-30","274","320.24"
"2026-05-31","237","290.68"
"2026-06-01","215","290.68"
"2026-06-02","222","290.68"
"2026-06-03","266","295.61"
"2026-06-04","379","330.1"
"2026-06-05","453","335.02"
"2026-06-06","554","325.17"
"2026-06-07","386","300.53"
"2026-06-08","263","285.75"
"2026-06-09","211","290.68"
"2026-06-10","197","285.75"
"2026-06-11","202","285.75"
"2026-06-12","210","310.39"
"2026-06-13","217","310.39"
"2026-06-14","196","295.61"
"2026-06-15","158","285.75"
"2026-06-16","148","275.9"
"2026-06-17","154","290.68"
"2026-06-18","159","320.24"
"2026-06-19","160","325.17"
"2026-06-20","163","315.32"
"2026-06-21","162","300.53"
"2026-06-22","143","290.68"
"2026-06-23","143","300.53"
"2026-06-24","145","295.61"
"2026-06-25","150","285.75"
"2026-06-26","167","300.53"
"2026-06-27","187","300.53"
"2026-06-28","163","266.05"
"2026-06-29","147","295.61"
"2026-06-30","133","295.61"
"2026-07-01","136","295.61"
"2026-07-02","139","305.46"
"2026-07-03","141","359.66"
"2026-07-04","157","364.58"
"2026-07-05","148","364.58"
"2026-07-06","153","330.1"
"2026-07-07","162","349.8"
"2026-07-08","174","369.51"
"2026-07-09","188","389.22"
"2026-07-10","191","408.92"
"2026-07-11","181","364.58"
"2026-07-12","166","300.53"
"2026-07-13","160","275.9"
"2026-07-14","158","275.9"
"2026-07-15","162","280.83"
"2026-07-16","174","290.68"
"2026-07-17","173","300.53"
"2026-07-18","173","305.46"
"2026-07-19","158","295.61"
"2026-07-20","144","285.75"
"2026-07-21","138","295.61"
"2026-07-22","146","305.46"
"2026-07-23","154","330.1"
"2026-07-24","167","344.88"
"2026-07-25","168","369.51"
"2026-07-26","149","320.24"
"2026-07-27","135","305.46"
"2026-07-28","134","315.32"
"2026-07-29","126","300.53"
"2026-07-30","122","325.17"
"2026-07-31","122","339.95"
"2026-08-01","121","369.51"
"2026-08-02","119","330.1"
"2026-08-03","107","330.1"
"2026-08-04","109","335.02"
"2026-08-05","108","330.1"
"2026-08-06","109","335.02"
"2026-08-07","110","354.73"
"2026-08-08","120","339.95"
"2026-08-09","111","310.39"
"2026-08-10","122","310.39"
"2026-08-11","117","320.24"
"2026-08-12","110","325.17"
"2026-08-13","116","330.1"
"2026-08-14","110","354.73"
"2026-08-15","115","354.73"
"2026-08-16","114","305.46"
"2026-08-17","110","310.39"
"2026-08-18","106","305.46"
"2026-08-19","106","320.24"
"2026-08-20","104","325.17"
"2026-08-21","107","369.51"
"2026-08-22","108","349.8"
"2026-08-23","103","330.1"
"2026-08-24","109","339.95"
"2026-08-25","105","325.17"
"2026-08-26","107","320.24"
"2026-08-27","114","325.17"
"2026-08-28","115","369.51"
"2026-08-29","119","369.51"
"2026-08-30","114","325.17"
"2026-08-31","117","325.17"
"2026-09-01","130","315.32"
"2026-09-02","143","339.95"
"2026-09-03","177","335.02"
"2026-09-04","301","344.88"
"2026-09-05","344","349.8"
"2026-09-06","324","349.8"
"2026-09-07","250","330.1"
"2026-09-08","187","320.24"
"2026-09-09","220","295.61"
"2026-09-10","430","315.32"
"2026-09-11","503","330.1"
"2026-09-12","444","344.88"
"2026-09-13","239","295.61"
"2026-09-14","121","320.24"
"2026-09-15","98","305.46"
"2026-09-16","83","270.97"
"2026-09-17","77","295.61"
"2026-09-18","80","315.32"
"2026-09-19","85","325.17"
"2026-09-20","74","285.75"
"2026-09-21","73","300.53"
"2026-09-22","72","305.46"
"2026-09-23","72","305.46"
"2026-09-24","73","320.24"
"2026-09-25","71","379.36"
"2026-09-26","69","399.07"
"2026-09-27","66","335.02"
"2026-09-28","67","320.24"
"2026-09-29","64","315.32"
"2026-09-30","63","315.32"
"2026-10-01","53","310.39"
"2026-10-02","54","344.88"
"2026-10-03","52","344.88"
"2026-10-04","50","310.39"
"2026-10-05","53","305.46"
"2026-10-06","54","305.46"
"2026-10-07","56","305.46"
"2026-10-08","51","305.46"
"2026-10-09","57","344.88"
"2026-10-10","67","339.95"
"2026-10-11","62","285.75"
"2026-10-12","57","310.39"
"2026-10-13","54","344.88"
"2026-10-14","58","364.58"
"2026-10-15","59","344.88"
"2026-10-16","59","374.44"
"2026-10-17","59","364.58"
"2026-10-18","54","280.83"
"2026-10-19","47","280.83"
"2026-10-20","49","320.24"
"2026-10-21","48","305.46"
"2026-10-22","48","305.46"
"2026-10-23","42","280.83"
"2026-10-24","45","280.83"
"2026-10-25","45","275.9"
"2026-10-26","47","266.05"
"2026-10-27","46","280.83"
"2026-10-28","46","295.61"
"2026-10-29","43","275.9"
"2026-10-30","47","270.97"
"2026-10-31","51","270.97"
