"Date","Revenue"
"2023-05-01","5218.16"
"2023-06-01","4680.55"
"2023-07-01","5983.55"
"2023-08-01","5100.61"
"2023-09-01","5562.05"
"2023-10-01","5426.13"
"2023-11-01","5667.32"
"2023-12-01","5479.18"
"2024-01-01","5908.77"
"2024-02-01","5172.49"
"2024-03-01","5497.39"
"2024-04-01","5595.44"
"2024-05-01","4856.18"
"2024-06-01","5049.53"
"2024-07-01","6208.68"
"2024-08-01","5448.61"
"2024-09-01","5521.08"
"2024-10-01","5445.78"
"2024-11-01","5023.94"
"2024-12-01","4948.44"
"2025-01-01","6320.8"
"2025-02-01","5111.18"
"2025-03-01","4991.86"
"2025-04-01","4766.23"
"2025-05-01","4173.19"
"2025-06-01","4583.93"
"2025-07-01","5250.97"
"2025-08-01","4455.35"
"2025-09-01","4751.6"
"2025-10-01","5110.43"
"2025-11-01","4869.18"
"2025-12-01","4747.61"
"2026-01-01","6441.82"
"2026-02-01","5903.58"
"2026-03-01","5605.11"
"2026-04-01","5100.92"
