"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","3881.79","5453.88","6858.02","8740.63","9412.09","6911.17"
"2023-06-01","3426.81","4393.61","6512.25","10491.85","11885.13","6997.65"
"2023-07-01","4127.37","5682.02","8162.01","13137.21","14104.96","20889.02"
"2023-08-01","3824.02","4631.84","7650.82","8658.13","8969.68","13671.4"
"2023-09-01","3940.07","4994.79","7899.65","12667.12","17515.23","10100.92"
"2023-10-01","4014.86","5173.82","7175.72","12733.37","12498.71","18855.58"
"2023-11-01","4215.8","5271.37","7834.98","12639.56","13384.58","11998.31"
"2023-12-01","3825.6","5512.55","7344.64","13554.75","15697.49","8086.15"
"2024-01-01","4185.9","5992","7768.87","14506.07","17833.5","6247.78"
"2024-02-01","3563.05","5251.34","6673.47","12139.69","17484.29","13732.92"
"2024-03-01","4146.32","5074.65","6582.36","15205.01","22204.02","5813.32"
"2024-04-01","3631.92","5774.76","7117.31","14088.82","26314.91","11690.04"
"2024-05-01","3578.6","5348.52","5654.47","10414.19","21351.14","8277.79"
"2024-06-01","3519.18","5270.88","6757.83","10255.72","15420.12","13772.17"
"2024-07-01","4555.65","6344.6","8526.87","14751.17","17085.88","7805.62"
"2024-08-01","4033.98","5833.08","7147.18","12381.7","13427.96","18714.1"
"2024-09-01","3888.28","5694.84","7709.9","14791.45","19517.81","9852.14"
"2024-10-01","4129.71","5509.96","7101.59","14496.42","14562.4","10521.16"
"2024-11-01","3623.04","5018.13","6982.14","12937.92","18222.25","10912.76"
"2024-12-01","3569.31","4968.67","6637.76","14038.49","13413.47","9731.29"
"2025-01-01","4804.16","6393.22","8652.39","14022.98","19513.18","10908.12"
"2025-02-01","3720.44","5042.1","7528.78","12795.48","17028.88","12480.47"
"2025-03-01","3611.17","5087.04","7334.78","14400.49","15122.08","18782.38"
"2025-04-01","3513.59","4560.38","6997.4","13033.13","15573.51","14643.45"
"2025-05-01","3073.88","4676.15","5452.36","11550.74","14458.92","7480.44"
"2025-06-01","3241.8","4775.74","7234.57","12619.42","12751.81","11353.91"
"2025-07-01","3641.22","5559.29","8240.77","15015.41","15920.84","7334.01"
"2025-08-01","3343.86","4426.2","7745.06","10686.66","14715.09","11190.67"
"2025-09-01","3556.82","4840.06","7075.09","13585.81","13846.97","20233.6"
"2025-10-01","3729.05","5244.81","8060.2","12045.17","16322.41","18638.07"
"2025-11-01","3525.01","4713.89","7388.51","13543.11","19009.88","10506.81"
"2025-12-01","3288.04","4964.6","7545.4","13207.76","15497.45","18630.89"
"2026-01-01","4410.26","6857.75","10278.05","15941.97","20628.65","20721.86"
"2026-02-01","4001.71","6129.35","8599.48","19911.89","21005.09","14667.81"
"2026-03-01","4351.26","5414.45","9151.04","14774.76","11951.57","9556"
"2026-04-01","3726.35","4909","8154.19","17072.35","11301.5","11921.29"
