"Date","Unique","B&B","Apartment","House"
"2023-05-01","6615.36","13670.76","2492747.62","482192.53"
"2023-06-01","12021.94","10583.54","2019931.99","578568.7"
"2023-07-01","12323.82","15095","2768743.11","722168.05"
"2023-08-01","12147.72","12451.79","2263648.8","522187.62"
"2023-09-01","9071.16","16205.46","2841780.41","798335.38"
"2023-10-01","12821.19","20855.26","3068040.57","712850.86"
"2023-11-01","7760.39","24467.59","4124115.8","972581.71"
"2023-12-01","8696","34650.68","5277894.94","1401710.45"
"2024-01-01","13515.94","36919.56","5703540.2","1153377.71"
"2024-02-01","3546.39","43437.03","4432770.04","1101359.62"
"2024-03-01","6225.52","31787.12","3309023.44","808987.76"
"2024-04-01","4054.83","38422.35","3528561.75","759829.28"
"2024-05-01","","44285.13","3104642.19","561194.87"
"2024-06-01","5725.03","39005.09","2997891.37","673835.61"
"2024-07-01","9087.77","29807.66","4051798.68","807955.95"
"2024-08-01","18884.18","27185.1","3378825.02","650664.74"
"2024-09-01","21164.85","44589.31","6741269.46","1364174.86"
"2024-10-01","11945.84","39625.37","3819803.56","855560.96"
"2024-11-01","9541.78","40526.48","4177931.43","971783.31"
"2024-12-01","15897.56","60526.74","6430330.25","1455288.35"
"2025-01-01","17403.64","65705.65","8332091.45","1540065.71"
"2025-02-01","18078.21","47782.6","5440011.44","980210.76"
"2025-03-01","22097.59","57479.02","6453542.85","1234213.2"
"2025-04-01","17693.63","52780.69","5383465.12","1152057.51"
"2025-05-01","10297.23","44740.68","3952488.99","624710.09"
"2025-06-01","8554.24","24897.67","3499622.03","684139.81"
"2025-07-01","12333.59","35144.34","4256378.16","721317.72"
"2025-08-01","7777.3","28608.59","3431745.2","528316.43"
"2025-09-01","9724.24","25972.07","3768758.04","628790.04"
"2025-10-01","8737.63","26861.53","4429753.71","680848.15"
"2025-11-01","16516.37","21977.68","4535454.6","864921.74"
"2025-12-01","24394.14","41185.75","6956152.26","1357797.76"
"2026-01-01","19941.96","59729.22","9972685.13","1865002.37"
"2026-02-01","27855.92","38936.69","9094244.27","1937690.33"
"2026-03-01","17900.14","28428.07","5543783.57","1035132.64"
"2026-04-01","12035.3","22377.67","5443091.32","1163893.32"
