"Date","RevPAR"
"2024-04-01","139.7"
"2024-04-02","140.28"
"2024-04-03","144.65"
"2024-04-04","162.64"
"2024-04-05","214.89"
"2024-04-06","210.47"
"2024-04-07","182.69"
"2024-04-08","151.13"
"2024-04-09","158.25"
"2024-04-10","181.11"
"2024-04-11","185.82"
"2024-04-12","216.84"
"2024-04-13","245.85"
"2024-04-14","241.03"
"2024-04-15","239.88"
"2024-04-16","253.39"
"2024-04-17","259.96"
"2024-04-18","254.91"
"2024-04-19","226.31"
"2024-04-20","238.88"
"2024-04-21","199.05"
"2024-04-22","175.38"
"2024-04-23","164.75"
"2024-04-24","157.47"
"2024-04-25","180.13"
"2024-04-26","193.13"
"2024-04-27","220.97"
"2024-04-28","193.28"
"2024-04-29","162.68"
"2024-04-30","155.99"
"2024-05-01","148.69"
"2024-05-02","172.33"
"2024-05-03","218.7"
"2024-05-04","255.29"
"2024-05-05","193.7"
"2024-05-06","131.47"
"2024-05-07","114.02"
"2024-05-08","111.81"
"2024-05-09","125.24"
"2024-05-10","140.25"
"2024-05-11","158.91"
"2024-05-12","137.39"
"2024-05-13","118.59"
"2024-05-14","124.42"
"2024-05-15","125.1"
"2024-05-16","140.51"
"2024-05-17","182.88"
"2024-05-18","206.89"
"2024-05-19","173"
"2024-05-20","143.52"
"2024-05-21","136.33"
"2024-05-22","145.27"
"2024-05-23","152.68"
"2024-05-24","195.4"
"2024-05-25","205.19"
"2024-05-26","167.45"
"2024-05-27","128.92"
"2024-05-28","143.39"
"2024-05-29","186.3"
"2024-05-30","283.45"
"2024-05-31","307.82"
"2024-06-01","310.78"
"2024-06-02","202.64"
"2024-06-03","142.1"
"2024-06-04","136.46"
"2024-06-05","142.51"
"2024-06-06","153.26"
"2024-06-07","170.97"
"2024-06-08","203.41"
"2024-06-09","176.57"
"2024-06-10","139.26"
"2024-06-11","133.18"
"2024-06-12","150.32"
"2024-06-13","163.22"
"2024-06-14","186.69"
"2024-06-15","218.68"
"2024-06-16","187.52"
"2024-06-17","153.94"
"2024-06-18","147.84"
"2024-06-19","160.99"
"2024-06-20","176.17"
"2024-06-21","202.84"
"2024-06-22","238.03"
"2024-06-23","198.04"
"2024-06-24","148.99"
