"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","28","6","5","6","3","1"
"2023-06-01","29","7","4","6","1","1"
"2023-07-01","28","9","3","6","1","1"
"2023-08-01","24","8","4","4","0","1"
"2023-09-01","23","10","3","6","1","2"
"2023-10-01","28","13","3","7","1","2"
"2023-11-01","34","15","9","8","3","2"
"2023-12-01","56","25","10","10","10","3"
"2024-01-01","60","25","11","9","10","4"
"2024-02-01","65","32","13","12","6","4"
"2024-03-01","65","33","10","12","5","4"
"2024-04-01","25","15","3","8","2","2"
"2024-05-01","25","17","2","5","3","3"
"2024-06-01","30","16","3","4","3","1"
"2024-07-01","23","15","6","4","4","0"
"2024-08-01","21","15","4","4","4","2"
"2024-09-01","47","21","5","6","6","3"
"2024-10-01","50","19","4","5","5","2"
"2024-11-01","47","17","5","3","5","3"
"2024-12-01","77","28","10","7","6","5"
"2025-01-01","81","29","11","8","11","5"
"2025-02-01","81","29","14","11","16","6"
"2025-03-01","84","32","13","14","15","7"
"2025-04-01","59","25","8","10","15","7"
"2025-05-01","53","21","7","3","7","4"
"2025-06-01","36","17","5","3","7","4"
"2025-07-01","30","15","2","5","8","3"
"2025-08-01","28","14","2","3","8","4"
"2025-09-01","30","14","3","1","8","6"
"2025-10-01","29","16","1","2","7","6"
"2025-11-01","30","16","3","4","11","6"
"2025-12-01","75","20","6","6","11","8"
"2026-01-01","80","20","6","5","8","6"
"2026-02-01","99","31","11","8","14","9"
"2026-03-01","86","28","11","8","13","12"
"2026-04-01","47","17","8","6","9","7"
