"Date","Length of Stay"
"2023-05-01",""
"2023-06-01",""
"2023-07-01",""
"2023-08-01",""
"2023-09-01",""
"2023-10-01",""
"2023-11-01",""
"2023-12-01",""
"2024-01-01",""
"2024-02-01",""
"2024-03-01",""
"2024-04-01","7.77"
"2024-05-01","5.49"
"2024-06-01","6.06"
"2024-07-01","7.43"
"2024-08-01","7.64"
"2024-09-01","4.86"
"2024-10-01","8.72"
"2024-11-01","4.98"
"2024-12-01","6.07"
"2025-01-01","6.17"
"2025-02-01","7.38"
"2025-03-01","8.36"
"2025-04-01","6.02"
"2025-05-01","7.22"
"2025-06-01","4.3"
"2025-07-01","6.7"
"2025-08-01","5.3"
"2025-09-01","8.32"
"2025-10-01","6.45"
"2025-11-01","5.45"
"2025-12-01","5.88"
"2026-01-01","6.63"
"2026-02-01","6.34"
"2026-03-01","6.14"
"2026-04-01","6.67"
