"Date","Occupancy"
"2023-05-01","35.98"
"2023-06-01","40.65"
"2023-07-01","43.91"
"2023-08-01","37.96"
"2023-09-01","45.35"
"2023-10-01","37.98"
"2023-11-01","41.68"
"2023-12-01","52.66"
"2024-01-01","33.3"
"2024-02-01","44.31"
"2024-03-01","31.22"
"2024-04-01","42.55"
"2024-05-01","41.64"
"2024-06-01","49.46"
"2024-07-01","60.51"
"2024-08-01","49"
"2024-09-01","48.96"
"2024-10-01","30.44"
"2024-11-01","51.85"
"2024-12-01","49.96"
"2025-01-01","33.97"
"2025-02-01","61.59"
"2025-03-01","40.5"
"2025-04-01","49.8"
"2025-05-01","36.03"
"2025-06-01","44.25"
"2025-07-01","39.79"
"2025-08-01","43.69"
"2025-09-01","42.71"
"2025-10-01","50.12"
"2025-11-01","50.94"
"2025-12-01","51.91"
"2026-01-01","39.57"
"2026-02-01","57.05"
"2026-03-01","36.28"
"2026-04-01","40.27"
