"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","446.51","517.93","544.39","2280.48","1503.49","0"
"2023-06-01","319.38","744.48","462.9","1803.68","1035.74","774.52"
"2023-07-01","472.66","786.08","563.62","2205.98","1713.78","0"
"2023-08-01","296.88","619.59","775.26","1120.31","0","6853.97"
"2023-09-01","569.38","897.07","2441.51","6384.53","13246.62","6461.1"
"2023-10-01","254.81","612.79","546.38","4687.43","0","0"
"2023-11-01","361.46","597.52","905.38","3369.05","9354.48","6589.52"
"2023-12-01","336.53","596.21","2908.16","6061.96","11311.19","6910.47"
"2024-01-01","347.89","708.82","1481.23","3567.03","4762.64","6781.48"
"2024-02-01","332.24","736.51","1241.44","2525.88","9026.25","5618.66"
"2024-03-01","416.1","587.48","4366.27","1436.18","3624.22","5587.65"
"2024-04-01","384.22","677.51","6507.95","2125.93","9521.76","6253.35"
"2024-05-01","415.8","547.63","1614.67","1542.19","8542.16","5160.78"
"2024-06-01","308.6","585.65","1245.9","1376.29","2361.71","5377.24"
"2024-07-01","348.26","517.1","1006.42","5735.87","6738.35","0"
"2024-08-01","401.73","536.91","826.28","2499.79","12224.41","7671.2"
"2024-09-01","400.85","607.09","1114.87","1206.71","7697.52","4389.62"
"2024-10-01","282.29","585.01","876.92","1443.06","3316.22","5497.46"
"2024-11-01","483.62","651.44","1596.02","1111.48","8267.23","7067.93"
"2024-12-01","387.14","700.99","1320.17","2951.53","8451.66","8266.47"
"2025-01-01","381.05","831.31","1444.57","4739.37","10612.24","7713.32"
"2025-02-01","393.63","829.36","1473.89","8313.64","8519.1","8148.67"
"2025-03-01","448.72","757.87","1153.65","8706.08","15774.89","5844.61"
"2025-04-01","565.1","743.93","1748.53","6113.79","6010.2","13940.15"
"2025-05-01","413.27","711.42","2042.86","1539.8","4624.81","5864.65"
"2025-06-01","423.32","660.69","1223.19","2808.91","9797.56","4692.48"
"2025-07-01","480.22","639.36","1016.35","6050.8","8308.74","0"
"2025-08-01","468.66","612.21","4977.42","13198.27","6186.31","5461.03"
"2025-09-01","399.42","606.22","1047.39","1276.01","3373.75","5208.09"
"2025-10-01","243.26","703.36","0","5878.81","5172.25","7331.93"
"2025-11-01","244.47","734.14","3429.87","6820.42","7459.22","7440.86"
"2025-12-01","316.46","779.37","1155.94","8954.8","7737.23","4650.86"
"2026-01-01","351.42","798.57","2147.28","7965.3","7885.14","6378.55"
"2026-02-01","349.94","897.81","1788.92","6564.47","10261.57","8590.59"
"2026-03-01","270.53","757.95","1409.44","4993.48","10139.89","6910.46"
"2026-04-01","306.21","723.95","848.09","11616.76","11099.78","6529.27"
