"Date","Daily Rate"
"2023-05-01","603"
"2023-06-01","597"
"2023-07-01","776"
"2023-08-01","549"
"2023-09-01","1617"
"2023-10-01","679"
"2023-11-01","1030"
"2023-12-01","1514"
"2024-01-01","1023"
"2024-02-01","1372"
"2024-03-01","855"
"2024-04-01","1643"
"2024-05-01","993"
"2024-06-01","543"
"2024-07-01","1087"
"2024-08-01","2049"
"2024-09-01","1096"
"2024-10-01","628"
"2024-11-01","1043"
"2024-12-01","1175"
"2025-01-01","1750"
"2025-02-01","1960"
"2025-03-01","2976"
"2025-04-01","1569"
"2025-05-01","749"
"2025-06-01","1228"
"2025-07-01","1458"
"2025-08-01","1509"
"2025-09-01","880"
"2025-10-01","1067"
"2025-11-01","1675"
"2025-12-01","1348"
"2026-01-01","1352"
"2026-02-01","1822"
"2026-03-01","1663"
"2026-04-01","2510"
