"Date","Budget","Economy","Midscale","Upscale","Luxury"
"2023-05-01","122","242","284","581","1371"
"2023-06-01","128","364","253","851","806"
"2023-07-01","122","220","382","719","1200"
"2023-08-01","114","175","364","1160","746"
"2023-09-01","159","202","250","1452","2927"
"2023-10-01","151","214","212","819","1614"
"2023-11-01","139","228","302","1072","2625"
"2023-12-01","190","317","301","928","4089"
"2024-01-01","236","159","554","909","1823"
"2024-02-01","211","278","591","1058","3249"
"2024-03-01","94","319","752","775","1411"
"2024-04-01","149","195","644","1464","2941"
"2024-05-01","0","260","464","1180","1845"
"2024-06-01","144","256","486","837","656"
"2024-07-01","155","343","700","684","2007"
"2024-08-01","162","331","649","1215","4503"
"2024-09-01","195","411","616","979","2910"
"2024-10-01","191","304","394","927","1063"
"2024-11-01","185","391","511","1133","2070"
"2024-12-01","210","350","555","1014","2757"
"2025-01-01","195","359","797","1081","4327"
"2025-02-01","184","398","671","975","4670"
"2025-03-01","193","341","718","1344","6624"
"2025-04-01","191","325","1028","1106","2841"
"2025-05-01","194","370","516","820","1196"
"2025-06-01","178","335","547","1017","2741"
"2025-07-01","208","349","720","718","3796"
"2025-08-01","202","245","654","1502","3306"
"2025-09-01","200","247","804","1389","1073"
"2025-10-01","196","287","640","946","2266"
"2025-11-01","201","264","738","1386","4344"
"2025-12-01","190","253","548","934","3285"
"2026-01-01","230","288","511","1702","2565"
"2026-02-01","200","280","806","1414","3855"
"2026-03-01","132","220","819","1309","3527"
"2026-04-01","142","290","766","948","5564"
