"Date","Revenue"
"2023-05-01","6797.45"
"2023-06-01","6425.08"
"2023-07-01","10062.33"
"2023-08-01","6864.77"
"2023-09-01","19404.53"
"2023-10-01","6895.24"
"2023-11-01","11001.46"
"2023-12-01","16594.36"
"2024-01-01","11182.52"
"2024-02-01","14223.31"
"2024-03-01","12898.95"
"2024-04-01","22098.96"
"2024-05-01","13169.03"
"2024-06-01","6380.75"
"2024-07-01","18692.99"
"2024-08-01","27962.21"
"2024-09-01","11619.05"
"2024-10-01","8311.17"
"2024-11-01","11823.82"
"2024-12-01","10339.59"
"2025-01-01","16884.53"
"2025-02-01","17636.69"
"2025-03-01","35177.81"
"2025-04-01","22471.27"
"2025-05-01","7997.14"
"2025-06-01","14414.24"
"2025-07-01","19052.41"
"2025-08-01","16456.95"
"2025-09-01","10992.55"
"2025-10-01","13517.55"
"2025-11-01","20927.88"
"2025-12-01","12616.72"
"2026-01-01","14880.42"
"2026-02-01","21046.41"
"2026-03-01","25420.64"
"2026-04-01","28278.31"
