"Date","1 bedroom","2 bedroom","3 bedroom","4 bedroom","5 bedroom","6+ bedroom"
"2023-05-01","5549.47","7250.98","5580.03","16533.5","1503.49",""
"2023-06-01","3134.61","9146.54","8332.14","15511.63","31072.32","2323.57"
"2023-07-01","5865.24","12970.36","9017.95","22059.78","10282.66",""
"2023-08-01","3328.19","10780.92","13954.68","13443.75","","20561.9"
"2023-09-01","7572.77","10406.05","34995.03","76614.35","13246.62","19383.29"
"2023-10-01","2548.13","7743.46","2731.89","31640.15","",""
"2023-11-01","4337.55","7511.72","7544.84","23583.31","77953.96","16473.8"
"2023-12-01","4209.78","6781.89","31989.73","44165.71","72391.62","27641.88"
"2024-01-01","4181.87","7875.77","16589.73","32816.63","36910.42","20344.43"
"2024-02-01","3562.05","6812.69","11850.06","30769.86","120350","37925.95"
"2024-03-01","6827.84","8922.33","24742.19","23594.47","54363.37","16762.94"
"2024-04-01","5743.03","9902.13","32539.74","7440.77","257087.55","40646.81"
"2024-05-01","5966.73","7374.68","25834.7","17478.2","82574.15","10321.56"
"2024-06-01","3780.34","8617.34","5814.22","10092.79","17712.8","5377.24"
"2024-07-01","7034.85","9935.74","10818.97","61182.63","69068.12",""
"2024-08-01","5011.11","8628.95","13633.7","25622.85","210871.04","34520.41"
"2024-09-01","3790.63","8115.78","11817.6","12268.23","93909.72","21948.11"
"2024-10-01","3374.63","10170.19","15784.57","14430.56","21002.75","27487.31"
"2024-11-01","5377.37","9388.33","9975.1","19636.18","61177.53","28271.73"
"2024-12-01","3023.92","8486.98","8449.09","39845.59","86206.95","21492.82"
"2025-01-01","3122.67","11254.63","15087.7","68128.45","89721.65","20568.83"
"2025-02-01","3435.32","10724.44","8948.63","89182.66","57361.94","23087.91"
"2025-03-01","4642.33","12098.81","13843.8","107582.36","201693.28","45587.92"
"2025-04-01","7559.7","12079.99","33222.17","89668.89","97164.85","66215.72"
"2025-05-01","4734.62","8034.8","13789.31","18477.62","26592.66","23458.59"
"2025-06-01","6183.45","7804.43","6727.53","16853.47","57385.72","29719.03"
"2025-07-01","7066.05","9648.49","28457.86","28741.32","62909.04",""
"2025-08-01","5840.27","8366.92","54751.66","30795.95","50374.23","20478.88"
"2025-09-01","5238.6","9497.38","2094.78","7656.05","41159.76","18228.3"
"2025-10-01","3500.83","10374.56","","61727.55","42240.02","16496.84"
"2025-11-01","3633.28","11326.74","32012.15","56268.49","57435.97","40180.65"
"2025-12-01","2792.57","10521.48","10981.42","100293.75","55127.77","11627.15"
"2026-01-01","3889.38","11053.88","24156.94","62129.34","73923.23","38271.32"
"2026-02-01","4318.37","10923.31","15287.14","61541.9","121560.15","55361.56"
"2026-03-01","4781.44","12316.66","15906.5","72405.5","105201.36","60219.75"
"2026-04-01","3273.5","9566.51","13569.43","182964.01","114697.7","26117.1"
